"Intitulé formations","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021"
"Portail math, physique, info","262","377","185","165",""
"Portail sc de la vie, de la terre","440","558","494","490",""
"Portail SI info","175","162","228","196",""
"DEUST 1 médias interactifs com.","","17","11","8",""
"Portail math, physique, info et Portail SI info","437","539","413","361",""
"","","","","",""
"L2 Info","64","67","99","132",""
"L2 Math","48","59","49","49",""
"L2 MIASHS","16","11","13","29",""
"L2 Physique, chimie","71","82","103","96",""
"L2 Sc. De la terre","37","54","61","62",""
"L2 SI","44","46","47","50",""
"L2 Sc. De la vie","251","266","302","332",""
"DEUST 2 médias interactifs com.","7","12","13","8",""
"","","","","",""
"L3 Géoarchi aménagement","28","26","15","26",""
"L3 Info CDA","0","0","26","42",""
"L3 Info FA","0","0","67","69",""
"L3 Info INT","0","0","","10",""
"L3 Info II","84","91","18","24",""
"L3 MIASHS ","44","42","54","55",""
"L3 Math","69","93","53","45",""
"L3 Physique chimie","74","76","67","37",""
"L3 SI Electronique","30","38","8","15",""
"L3 SI Image et son","24","24","24","23",""
"L3 SI Tech Méca","39","41","52","35",""
"L3 SI Signal, télécom et réseaux","","","24","17",""
"L3 Sc. De la terre bio","33","","21","19",""
"L3 Sc. De la terre géo","","","12","24",""
"L3 Sc. De la terre  hydro","","20","9","9",""
"L3 Sc. De la vie BCMP","191","271","105","110",""
"L3 Sc. De la vie BOPE","","","102","165",""
"L3 Pro Agt paysager","24","18","9","12",""
"L3 Pro mét. Électro.-SEME","11","7","2","6",""
"","","","","",""
"M1 AUDE","44","","","",""
"M1 Biologie et santé","57","25","26","28",""
"M1 BEE (gestion et conservation bio)","15","16","16","16",""
"M1 Chimie","16","19","20","18",""
"M1 Actuariat","","33","39","51",""
"M1 Ing Conception Méca","30","30","32","39",""
"M1 Ing de l'image, du son","23","22","24","24",""
"M1 Info","119","79","79","89",""
"M1 Electronique","34","","","",""
"M1 Math et app","51","21","16","14",""
"M1 Microbiologie","","10","8","11",""
"M1 Physique FA","16","17","13","10",""
"M1 Réseaux et télécom","","35","43","15",""
"M1 STIC","2","","2","",""
"M1 Urbanisme et aménagement","","37","37","32",""
"","","","","",""
"M2 AUDE","38","","","",""
"M2 BS Physio des régulations","34","9","7","11",""
"M2 BEE","","20","18","19",""
"M2 BS Analyse risque toxico","9","11","10","",""
"M2 Chimie","15","16","6","7",""
"M2 Actuariat","","37","39","47",""
"M2 Ing Conception Méca","36","11","8","9",""
"M2 ILIADE","","20","15","17",""
"M2 DOSI","","19","20","25",""
"M2 Int","4","4","4","5",""
"M2  L.S.E.","19","23","15","25",""
"M2 SIIA","","17","17","19",""
"M2 TIIL","48","2","2","1",""
"M2 Ing de l'image, du son","22","23","22","24",""
"M2 Microbiologie","17","15","17","14",""
"M2 Prépa agrég","","","1","2",""
"M2 PFA","","11","11","17",""
"M2 PFA photonique","","2","5","5",""
"M2 RT Télécom et réseaux","38","17","17","15",""
"M2 RT Electro, radiofrequence","10","15","6","23",""
"M2 Math","32","1","1","2",""
"M2 UA Env et Aménagement","","12","36","35",""
"M2 Urbanisme et dev","","29","","",""
